Entry,Gene.names...primary..,Entry.name,Protein.names,Transmembrane,Passes,membrane,singlepass,multipass,GPI-anchored
Q8IZF6,ADGRG4,AGRG4_HUMAN,Adhesion G-protein coupled receptor G4 (G-protein coupled receptor 112),TRANSMEM 2742 2762 Helical; Name=1. {ECO:0000255}.; TRANSMEM 2779 2799 Helical; Name=2. {ECO:0000255}.; TRANSMEM 2806 2826 Helical; Name=3. {ECO:0000255}.; TRANSMEM 2849 2869 Helical; Name=4. {ECO:0000255}.; TRANSMEM 2893 2913 Helical; Name=5. {ECO:0000255}.; TRANSMEM 2943 2963 Helical; Name=6. {ECO:0000255}.; TRANSMEM 2966 2986 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8IZF7,ADGRF2,AGRF2_HUMAN,Adhesion G-protein coupled receptor F2 (G-protein coupled receptor 111) (G-protein coupled receptor PGR20),TRANSMEM 452 472 Helical; Name=1. {ECO:0000255}.; TRANSMEM 488 508 Helical; Name=2. {ECO:0000255}.; TRANSMEM 531 551 Helical; Name=3. {ECO:0000255}.; TRANSMEM 558 578 Helical; Name=4. {ECO:0000255}.; TRANSMEM 607 627 Helical; Name=5. {ECO:0000255}.; TRANSMEM 651 671 Helical; Name=6. {ECO:0000255}.; TRANSMEM 675 695 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8IZP9,ADGRG2,AGRG2_HUMAN,Adhesion G-protein coupled receptor G2 (G-protein coupled receptor 64) (Human epididymis-specific protein 6) (He6),TRANSMEM 628 648 Helical; Name=1. {ECO:0000255}.; TRANSMEM 668 688 Helical; Name=2. {ECO:0000255}.; TRANSMEM 694 714 Helical; Name=3. {ECO:0000255}.; TRANSMEM 738 758 Helical; Name=4. {ECO:0000255}.; TRANSMEM 790 810 Helical; Name=5. {ECO:0000255}.; TRANSMEM 835 855 Helical; Name=6. {ECO:0000255}.; TRANSMEM 858 878 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8N0Y3,OR4N4,OR4N4_HUMAN,Olfactory receptor 4N4 (Olfactory receptor OR15-1) (Olfactory receptor OR15-5),TRANSMEM 26 49 Helical; Name=1. {ECO:0000255}.; TRANSMEM 58 79 Helical; Name=2. {ECO:0000255}.; TRANSMEM 101 120 Helical; Name=3. {ECO:0000255}.; TRANSMEM 140 158 Helical; Name=4. {ECO:0000255}.; TRANSMEM 196 219 Helical; Name=5. {ECO:0000255}.; TRANSMEM 236 258 Helical; Name=6. {ECO:0000255}.; TRANSMEM 270 289 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8N0Y5,OR8I2,OR8I2_HUMAN,Olfactory receptor 8I2 (Olfactory receptor OR11-170),TRANSMEM 26 46 Helical; Name=1. {ECO:0000255}.; TRANSMEM 55 75 Helical; Name=2. {ECO:0000255}.; TRANSMEM 100 120 Helical; Name=3. {ECO:0000255}.; TRANSMEM 140 160 Helical; Name=4. {ECO:0000255}.; TRANSMEM 197 216 Helical; Name=5. {ECO:0000255}.; TRANSMEM 237 257 Helical; Name=6. {ECO:0000255}.; TRANSMEM 271 291 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8N127,OR5AS1,O5AS1_HUMAN,Olfactory receptor 5AS1 (Olfactory receptor OR11-168),TRANSMEM 26 46 Helical; Name=1. {ECO:0000255}.; TRANSMEM 55 75 Helical; Name=2. {ECO:0000255}.; TRANSMEM 100 120 Helical; Name=3. {ECO:0000255}.; TRANSMEM 134 154 Helical; Name=4. {ECO:0000255}.; TRANSMEM 197 217 Helical; Name=5. {ECO:0000255}.; TRANSMEM 238 258 Helical; Name=6. {ECO:0000255}.; TRANSMEM 272 292 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8N146,OR8H3,OR8H3_HUMAN,Olfactory receptor 8H3 (Olfactory receptor OR11-172),TRANSMEM 27 47 Helical; Name=1. {ECO:0000255}.; TRANSMEM 56 76 Helical; Name=2. {ECO:0000255}.; TRANSMEM 100 120 Helical; Name=3. {ECO:0000255}.; TRANSMEM 140 160 Helical; Name=4. {ECO:0000255}.; TRANSMEM 198 217 Helical; Name=5. {ECO:0000255}.; TRANSMEM 238 258 Helical; Name=6. {ECO:0000255}.; TRANSMEM 272 292 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8N148,OR6V1,OR6V1_HUMAN,Olfactory receptor 6V1 (Olfactory receptor OR7-3),TRANSMEM 24 44 Helical; Name=1. {ECO:0000255}.; TRANSMEM 53 73 Helical; Name=2. {ECO:0000255}.; TRANSMEM 98 118 Helical; Name=3. {ECO:0000255}.; TRANSMEM 138 158 Helical; Name=4. {ECO:0000255}.; TRANSMEM 196 215 Helical; Name=5. {ECO:0000255}.; TRANSMEM 236 256 Helical; Name=6. {ECO:0000255}.; TRANSMEM 270 290 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8N162,OR8H2,OR8H2_HUMAN,Olfactory receptor 8H2 (Olfactory receptor OR11-171),TRANSMEM 27 47 Helical; Name=1. {ECO:0000255}.; TRANSMEM 56 76 Helical; Name=2. {ECO:0000255}.; TRANSMEM 100 120 Helical; Name=3. {ECO:0000255}.; TRANSMEM 140 160 Helical; Name=4. {ECO:0000255}.; TRANSMEM 198 217 Helical; Name=5. {ECO:0000255}.; TRANSMEM 238 258 Helical; Name=6. {ECO:0000255}.; TRANSMEM 272 292 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8N1S5,SLC39A11,S39AB_HUMAN,Zinc transporter ZIP11 (Solute carrier family 39 member 11) (Zrt- and Irt-like protein 11) (ZIP-11),TRANSMEM 12 32 Helical. {ECO:0000255}.; TRANSMEM 44 64 Helical. {ECO:0000255}.; TRANSMEM 72 92 Helical. {ECO:0000255}.; TRANSMEM 194 214 Helical. {ECO:0000255}.; TRANSMEM 263 285 Helical. {ECO:0000255}.; TRANSMEM 290 307 Helical. {ECO:0000255}.; TRANSMEM 322 342 Helical. {ECO:0000255}.,7,+,NA,+,NA
Q8N2M4,TMEM86A,TM86A_HUMAN,Lysoplasmalogenase-like protein TMEM86A (Transmembrane protein 86A),TRANSMEM 22 42 Helical. {ECO:0000255}.; TRANSMEM 44 64 Helical. {ECO:0000255}.; TRANSMEM 71 91 Helical. {ECO:0000255}.; TRANSMEM 93 113 Helical. {ECO:0000255}.; TRANSMEM 139 159 Helical. {ECO:0000255}.; TRANSMEM 175 195 Helical. {ECO:0000255}.; TRANSMEM 207 227 Helical. {ECO:0000255}.,7,+,NA,+,NA
Q8N349,OR2L13,OR2LD_HUMAN,Olfactory receptor 2L13 (Olfactory receptor 2L14),TRANSMEM 25 48 Helical; Name=1. {ECO:0000255}.; TRANSMEM 57 78 Helical; Name=2. {ECO:0000255}.; TRANSMEM 100 119 Helical; Name=3. {ECO:0000255}.; TRANSMEM 139 157 Helical; Name=4. {ECO:0000255}.; TRANSMEM 195 218 Helical; Name=5. {ECO:0000255}.; TRANSMEM 236 258 Helical; Name=6. {ECO:0000255}.; TRANSMEM 272 291 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8N3F9,GPR137C,G137C_HUMAN,Integral membrane protein GPR137C (Transmembrane 7 superfamily member 1-like 2 protein),TRANSMEM 49 69 Helical. {ECO:0000255}.; TRANSMEM 84 104 Helical. {ECO:0000255}.; TRANSMEM 121 141 Helical. {ECO:0000255}.; TRANSMEM 168 188 Helical. {ECO:0000255}.; TRANSMEM 206 226 Helical. {ECO:0000255}.; TRANSMEM 247 267 Helical. {ECO:0000255}.; TRANSMEM 301 321 Helical. {ECO:0000255}.,7,+,NA,+,NA
Q8N4W6,DNAJC22,DJC22_HUMAN,DnaJ homolog subfamily C member 22,TRANSMEM 5 25 Helical. {ECO:0000255}.; TRANSMEM 30 50 Helical. {ECO:0000255}.; TRANSMEM 81 101 Helical. {ECO:0000255}.; TRANSMEM 105 125 Helical. {ECO:0000255}.; TRANSMEM 138 158 Helical. {ECO:0000255}.; TRANSMEM 185 205 Helical. {ECO:0000255}.; TRANSMEM 218 238 Helical. {ECO:0000255}.,7,+,NA,+,NA
Q8N628,OR2C3,OR2C3_HUMAN,Olfactory receptor 2C3 (Olfactory receptor 2C4) (Olfactory receptor 2C5) (Olfactory receptor OR1-30),TRANSMEM 27 50 Helical; Name=1. {ECO:0000255}.; TRANSMEM 59 80 Helical; Name=2. {ECO:0000255}.; TRANSMEM 102 121 Helical; Name=3. {ECO:0000255}.; TRANSMEM 141 159 Helical; Name=4. {ECO:0000255}.; TRANSMEM 197 220 Helical; Name=5. {ECO:0000255}.; TRANSMEM 238 260 Helical; Name=6. {ECO:0000255}.; TRANSMEM 274 293 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8N661,TMEM86B,TM86B_HUMAN,Lysoplasmalogenase (EC 3.3.2.2) (Transmembrane protein 86B),TRANSMEM 21 41 Helical. {ECO:0000255}.; TRANSMEM 47 67 Helical. {ECO:0000255}.; TRANSMEM 85 105 Helical. {ECO:0000255}.; TRANSMEM 109 129 Helical. {ECO:0000255}.; TRANSMEM 147 167 Helical. {ECO:0000255}.; TRANSMEM 172 192 Helical. {ECO:0000255}.; TRANSMEM 198 218 Helical. {ECO:0000255}.,7,+,NA,+,NA
Q8N6U8,GPR161,GP161_HUMAN,G-protein coupled receptor 161 (G-protein coupled receptor RE2),TRANSMEM 31 51 Helical; Name=1. {ECO:0000255}.; TRANSMEM 65 85 Helical; Name=2. {ECO:0000255}.; TRANSMEM 102 123 Helical; Name=3. {ECO:0000255}.; TRANSMEM 144 164 Helical; Name=4. {ECO:0000255}.; TRANSMEM 191 211 Helical; Name=5. {ECO:0000255}.; TRANSMEM 270 290 Helical; Name=6. {ECO:0000255}.; TRANSMEM 307 327 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NBN3,TMEM87A,TM87A_HUMAN,Transmembrane protein 87A,TRANSMEM 226 246 Helical; Name=1. {ECO:0000255}.; TRANSMEM 258 278 Helical; Name=2. {ECO:0000255}.; TRANSMEM 306 322 Helical; Name=3. {ECO:0000255}.; TRANSMEM 326 346 Helical; Name=4. {ECO:0000255}.; TRANSMEM 362 382 Helical; Name=5. {ECO:0000255}.; TRANSMEM 404 424 Helical; Name=6. {ECO:0000255}.; TRANSMEM 438 458 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NDV2,GPR26,GPR26_HUMAN,G-protein coupled receptor 26,TRANSMEM 11 31 Helical; Name=1. {ECO:0000255}.; TRANSMEM 48 68 Helical; Name=2. {ECO:0000255}.; TRANSMEM 82 102 Helical; Name=3. {ECO:0000255}.; TRANSMEM 124 144 Helical; Name=4. {ECO:0000255}.; TRANSMEM 169 189 Helical; Name=5. {ECO:0000255}.; TRANSMEM 246 266 Helical; Name=6. {ECO:0000255}.; TRANSMEM 277 297 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NFB2,TMEM185A,T185A_HUMAN,Transmembrane protein 185A (Protein FAM11A),TRANSMEM 16 36 Helical. {ECO:0000255}.; TRANSMEM 41 61 Helical. {ECO:0000255}.; TRANSMEM 81 101 Helical. {ECO:0000255}.; TRANSMEM 111 131 Helical. {ECO:0000255}.; TRANSMEM 177 197 Helical. {ECO:0000255}.; TRANSMEM 211 231 Helical. {ECO:0000255}.; TRANSMEM 240 260 Helical. {ECO:0000255}.,7,+,NA,+,NA
Q8NFJ5,GPRC5A,RAI3_HUMAN,Retinoic acid-induced protein 3 (G-protein coupled receptor family C group 5 member A) (Phorbol ester induced gene 1) (PEIG-1) (Retinoic acid-induced gene 1 protein) (RAIG-1),TRANSMEM 34 54 Helical; Name=1. {ECO:0000255}.; TRANSMEM 69 89 Helical; Name=2. {ECO:0000255}.; TRANSMEM 98 118 Helical; Name=3. {ECO:0000255}.; TRANSMEM 130 150 Helical; Name=4. {ECO:0000255}.; TRANSMEM 177 197 Helical; Name=5. {ECO:0000255}.; TRANSMEM 213 233 Helical; Name=6. {ECO:0000255}.; TRANSMEM 248 268 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NFJ6,PROKR2,PKR2_HUMAN,Prokineticin receptor 2 (PK-R2) (G-protein coupled receptor 73-like 1) (G-protein coupled receptor I5E) (GPR73b) (GPRg2),TRANSMEM 55 75 Helical; Name=1. {ECO:0000255}.; TRANSMEM 90 110 Helical; Name=2. {ECO:0000255}.; TRANSMEM 137 157 Helical; Name=3. {ECO:0000255}.; TRANSMEM 172 192 Helical; Name=4. {ECO:0000255}.; TRANSMEM 224 244 Helical; Name=5. {ECO:0000255}.; TRANSMEM 274 294 Helical; Name=6. {ECO:0000255}.; TRANSMEM 314 334 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NFN8,GPR156,GP156_HUMAN,Probable G-protein coupled receptor 156 (G-protein coupled receptor PGR28) (GABAB-related G-protein coupled receptor),TRANSMEM 48 68 Helical. {ECO:0000255}.; TRANSMEM 87 107 Helical. {ECO:0000255}.; TRANSMEM 119 139 Helical. {ECO:0000255}.; TRANSMEM 165 185 Helical. {ECO:0000255}.; TRANSMEM 223 243 Helical. {ECO:0000255}.; TRANSMEM 258 278 Helical. {ECO:0000255}.; TRANSMEM 289 309 Helical. {ECO:0000255}.,7,+,NA,+,NA
Q8NG75,OR5T1,OR5T1_HUMAN,Olfactory receptor 5T1 (Olfactory receptor OR11-179),TRANSMEM 38 58 Helical; Name=1. {ECO:0000255}.; TRANSMEM 67 87 Helical; Name=2. {ECO:0000255}.; TRANSMEM 112 132 Helical; Name=3. {ECO:0000255}.; TRANSMEM 152 172 Helical; Name=4. {ECO:0000255}.; TRANSMEM 209 229 Helical; Name=5. {ECO:0000255}.; TRANSMEM 250 270 Helical; Name=6. {ECO:0000255}.; TRANSMEM 284 304 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NG76,OR2T33,O2T33_HUMAN,Olfactory receptor 2T33 (Olfactory receptor OR1-56),TRANSMEM 24 47 Helical; Name=1. {ECO:0000255}.; TRANSMEM 56 77 Helical; Name=2. {ECO:0000255}.; TRANSMEM 99 118 Helical; Name=3. {ECO:0000255}.; TRANSMEM 138 156 Helical; Name=4. {ECO:0000255}.; TRANSMEM 194 217 Helical; Name=5. {ECO:0000255}.; TRANSMEM 235 257 Helical; Name=6. {ECO:0000255}.; TRANSMEM 271 290 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NG77,OR2T12,O2T12_HUMAN,Olfactory receptor 2T12 (Olfactory receptor OR1-57),TRANSMEM 24 47 Helical; Name=1. {ECO:0000255}.; TRANSMEM 56 77 Helical; Name=2. {ECO:0000255}.; TRANSMEM 99 118 Helical; Name=3. {ECO:0000255}.; TRANSMEM 138 156 Helical; Name=4. {ECO:0000255}.; TRANSMEM 194 217 Helical; Name=5. {ECO:0000255}.; TRANSMEM 235 257 Helical; Name=6. {ECO:0000255}.; TRANSMEM 271 290 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NG78,OR8G5,OR8G5_HUMAN,Olfactory receptor 8G5 (Olfactory receptor 8G6) (Olfactory receptor OR11-298),TRANSMEM 61 81 Helical; Name=1. {ECO:0000255}.; TRANSMEM 90 110 Helical; Name=2. {ECO:0000255}.; TRANSMEM 135 155 Helical; Name=3. {ECO:0000255}.; TRANSMEM 175 195 Helical; Name=4. {ECO:0000255}.; TRANSMEM 233 252 Helical; Name=5. {ECO:0000255}.; TRANSMEM 273 293 Helical; Name=6. {ECO:0000255}.; TRANSMEM 307 327 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NG80,OR2L5,OR2L5_HUMAN,Olfactory receptor 2L5 (Olfactory receptor 2L11) (Olfactory receptor OR1-53),TRANSMEM 25 48 Helical; Name=1. {ECO:0000255}.; TRANSMEM 57 78 Helical; Name=2. {ECO:0000255}.; TRANSMEM 100 119 Helical; Name=3. {ECO:0000255}.; TRANSMEM 139 157 Helical; Name=4. {ECO:0000255}.; TRANSMEM 195 218 Helical; Name=5. {ECO:0000255}.; TRANSMEM 236 258 Helical; Name=6. {ECO:0000255}.; TRANSMEM 272 291 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NG81,OR2M7,OR2M7_HUMAN,Olfactory receptor 2M7 (Olfactory receptor OR1-58),TRANSMEM 26 49 Helical; Name=1. {ECO:0000255}.; TRANSMEM 58 79 Helical; Name=2. {ECO:0000255}.; TRANSMEM 101 120 Helical; Name=3. {ECO:0000255}.; TRANSMEM 140 158 Helical; Name=4. {ECO:0000255}.; TRANSMEM 196 219 Helical; Name=5. {ECO:0000255}.; TRANSMEM 237 259 Helical; Name=6. {ECO:0000255}.; TRANSMEM 273 292 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NG83,OR2M3,OR2M3_HUMAN,Olfactory receptor 2M3 (Olfactory receptor 2M6) (Olfactory receptor OR1-54),TRANSMEM 26 49 Helical; Name=1. {ECO:0000255}.; TRANSMEM 58 79 Helical; Name=2. {ECO:0000255}.; TRANSMEM 101 120 Helical; Name=3. {ECO:0000255}.; TRANSMEM 140 158 Helical; Name=4. {ECO:0000255}.; TRANSMEM 196 219 Helical; Name=5. {ECO:0000255}.; TRANSMEM 237 259 Helical; Name=6. {ECO:0000255}.; TRANSMEM 273 292 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NG84,OR2AK2,O2AK2_HUMAN,Olfactory receptor 2AK2 (Olfactory receptor 2AK1) (Olfactory receptor OR1-47),TRANSMEM 41 64 Helical; Name=1. {ECO:0000255}.; TRANSMEM 73 94 Helical; Name=2. {ECO:0000255}.; TRANSMEM 116 135 Helical; Name=3. {ECO:0000255}.; TRANSMEM 155 173 Helical; Name=4. {ECO:0000255}.; TRANSMEM 211 234 Helical; Name=5. {ECO:0000255}.; TRANSMEM 252 274 Helical; Name=6. {ECO:0000255}.; TRANSMEM 288 307 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NG85,OR2L3,OR2L3_HUMAN,Olfactory receptor 2L3,TRANSMEM 25 48 Helical; Name=1. {ECO:0000255}.; TRANSMEM 57 78 Helical; Name=2. {ECO:0000255}.; TRANSMEM 100 119 Helical; Name=3. {ECO:0000255}.; TRANSMEM 139 157 Helical; Name=4. {ECO:0000255}.; TRANSMEM 195 218 Helical; Name=5. {ECO:0000255}.; TRANSMEM 236 258 Helical; Name=6. {ECO:0000255}.; TRANSMEM 272 291 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NG92,OR13H1,O13H1_HUMAN,Olfactory receptor 13H1 (Olfactory receptor ORX-1),TRANSMEM 26 46 Helical; Name=1. {ECO:0000255}.; TRANSMEM 55 75 Helical; Name=2. {ECO:0000255}.; TRANSMEM 100 120 Helical; Name=3. {ECO:0000255}.; TRANSMEM 140 159 Helical; Name=4. {ECO:0000255}.; TRANSMEM 197 216 Helical; Name=5. {ECO:0000255}.; TRANSMEM 237 257 Helical; Name=6. {ECO:0000255}.; TRANSMEM 271 291 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NG94,OR11H1,O11H1_HUMAN,Olfactory receptor 11H1 (Olfactory receptor OR22-1),TRANSMEM 45 65 Helical; Name=1. {ECO:0000255}.; TRANSMEM 73 93 Helical; Name=2. {ECO:0000255}.; TRANSMEM 113 133 Helical; Name=3. {ECO:0000255}.; TRANSMEM 159 179 Helical; Name=4. {ECO:0000255}.; TRANSMEM 217 237 Helical; Name=5. {ECO:0000255}.; TRANSMEM 260 280 Helical; Name=6. {ECO:0000255}.; TRANSMEM 288 308 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NG95,OR7G3,OR7G3_HUMAN,Olfactory receptor 7G3 (OST085) (Olfactory receptor OR19-9),TRANSMEM 26 46 Helical; Name=1. {ECO:0000255}.; TRANSMEM 55 75 Helical; Name=2. {ECO:0000255}.; TRANSMEM 100 120 Helical; Name=3. {ECO:0000255}.; TRANSMEM 140 160 Helical; Name=4. {ECO:0000255}.; TRANSMEM 198 217 Helical; Name=5. {ECO:0000255}.; TRANSMEM 238 258 Helical; Name=6. {ECO:0000255}.; TRANSMEM 272 292 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NG97,OR2Z1,OR2Z1_HUMAN,Olfactory receptor 2Z1 (Olfactory receptor 2Z2) (Olfactory receptor OR19-4),TRANSMEM 26 49 Helical; Name=1. {ECO:0000255}.; TRANSMEM 58 79 Helical; Name=2. {ECO:0000255}.; TRANSMEM 101 120 Helical; Name=3. {ECO:0000255}.; TRANSMEM 140 158 Helical; Name=4. {ECO:0000255}.; TRANSMEM 196 219 Helical; Name=5. {ECO:0000255}.; TRANSMEM 237 259 Helical; Name=6. {ECO:0000255}.; TRANSMEM 273 292 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NG98,OR7D4,OR7D4_HUMAN,Olfactory receptor 7D4 (OR19-B) (Odorant receptor family subfamily D member 4RT) (Olfactory receptor OR19-7),TRANSMEM 26 46 Helical; Name=1. {ECO:0000255}.; TRANSMEM 55 75 Helical; Name=2. {ECO:0000255}.; TRANSMEM 100 120 Helical; Name=3. {ECO:0000255}.; TRANSMEM 140 160 Helical; Name=4. {ECO:0000255}.; TRANSMEM 198 217 Helical; Name=5. {ECO:0000255}.; TRANSMEM 238 258 Helical; Name=6. {ECO:0000255}.; TRANSMEM 272 292 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NG99,OR7G2,OR7G2_HUMAN,Olfactory receptor 7G2 (OST260) (Olfactory receptor 19-13) (OR19-13) (Olfactory receptor OR19-6),TRANSMEM 26 46 Helical; Name=1. {ECO:0000255}.; TRANSMEM 55 75 Helical; Name=2. {ECO:0000255}.; TRANSMEM 100 120 Helical; Name=3. {ECO:0000255}.; TRANSMEM 140 160 Helical; Name=4. {ECO:0000255}.; TRANSMEM 198 217 Helical; Name=5. {ECO:0000255}.; TRANSMEM 238 258 Helical; Name=6. {ECO:0000255}.; TRANSMEM 272 292 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NGA0,OR7G1,OR7G1_HUMAN,Olfactory receptor 7G1 (Olfactory receptor 19-15) (OR19-15) (Olfactory receptor OR19-8),TRANSMEM 30 50 Helical; Name=1. {ECO:0000255}.; TRANSMEM 58 78 Helical; Name=2. {ECO:0000255}.; TRANSMEM 98 118 Helical; Name=3. {ECO:0000255}.; TRANSMEM 134 154 Helical; Name=4. {ECO:0000255}.; TRANSMEM 197 217 Helical; Name=5. {ECO:0000255}.; TRANSMEM 245 265 Helical; Name=6. {ECO:0000255}.; TRANSMEM 270 290 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NGA1,OR1M1,OR1M1_HUMAN,Olfactory receptor 1M1 (Olfactory receptor 19-6) (OR19-6) (Olfactory receptor OR19-5),TRANSMEM 26 49 Helical; Name=1. {ECO:0000255}.; TRANSMEM 58 79 Helical; Name=2. {ECO:0000255}.; TRANSMEM 101 120 Helical; Name=3. {ECO:0000255}.; TRANSMEM 140 158 Helical; Name=4. {ECO:0000255}.; TRANSMEM 197 219 Helical; Name=5. {ECO:0000255}.; TRANSMEM 237 259 Helical; Name=6. {ECO:0000255}.; TRANSMEM 273 292 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NGA2,OR7A2P,OR7A2_HUMAN,Putative olfactory receptor 7A2 (Putative olfactory receptor 7A7),TRANSMEM 27 47 Helical; Name=1. {ECO:0000255}.; TRANSMEM 56 76 Helical; Name=2. {ECO:0000255}.; TRANSMEM 101 121 Helical; Name=3. {ECO:0000255}.; TRANSMEM 141 161 Helical; Name=4. {ECO:0000255}.; TRANSMEM 199 218 Helical; Name=5. {ECO:0000255}.; TRANSMEM 239 259 Helical; Name=6. {ECO:0000255}.; TRANSMEM 273 293 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NGA5,OR10H4,O10H4_HUMAN,Olfactory receptor 10H4 (Olfactory receptor OR19-28),TRANSMEM 27 47 Helical; Name=1. {ECO:0000255}.; TRANSMEM 56 76 Helical; Name=2. {ECO:0000255}.; TRANSMEM 101 121 Helical; Name=3. {ECO:0000255}.; TRANSMEM 141 161 Helical; Name=4. {ECO:0000255}.; TRANSMEM 199 219 Helical; Name=5. {ECO:0000255}.; TRANSMEM 240 260 Helical; Name=6. {ECO:0000255}.; TRANSMEM 274 294 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NGA6,OR10H5,O10H5_HUMAN,Olfactory receptor 10H5 (Olfactory receptor OR19-25) (Olfactory receptor OR19-26),TRANSMEM 26 46 Helical; Name=1. {ECO:0000255}.; TRANSMEM 55 75 Helical; Name=2. {ECO:0000255}.; TRANSMEM 100 120 Helical; Name=3. {ECO:0000255}.; TRANSMEM 140 160 Helical; Name=4. {ECO:0000255}.; TRANSMEM 198 218 Helical; Name=5. {ECO:0000255}.; TRANSMEM 239 259 Helical; Name=6. {ECO:0000255}.; TRANSMEM 273 293 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NGA8,OR4F17,O4F17_HUMAN,Olfactory receptor 4F17 (Olfactory receptor 4F11) (Olfactory receptor 4F18) (Olfactory receptor 4F19),TRANSMEM 19 42 Helical; Name=1. {ECO:0000255}.; TRANSMEM 51 72 Helical; Name=2. {ECO:0000255}.; TRANSMEM 94 113 Helical; Name=3. {ECO:0000255}.; TRANSMEM 133 151 Helical; Name=4. {ECO:0000255}.; TRANSMEM 189 212 Helical; Name=5. {ECO:0000255}.; TRANSMEM 229 251 Helical; Name=6. {ECO:0000255}.; TRANSMEM 263 282 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NGB2,OR4C5,OR4C5_HUMAN,Olfactory receptor 4C5 (Olfactory receptor OR11-99),TRANSMEM 47 70 Helical; Name=1. {ECO:0000255}.; TRANSMEM 79 100 Helical; Name=2. {ECO:0000255}.; TRANSMEM 122 141 Helical; Name=3. {ECO:0000255}.; TRANSMEM 161 179 Helical; Name=4. {ECO:0000255}.; TRANSMEM 217 240 Helical; Name=5. {ECO:0000255}.; TRANSMEM 249 271 Helical; Name=6. {ECO:0000255}.; TRANSMEM 283 302 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NGB4,OR4S1,OR4S1_HUMAN,Olfactory receptor 4S1 (Olfactory receptor OR11-100),TRANSMEM 24 47 Helical; Name=1. {ECO:0000255}.; TRANSMEM 56 77 Helical; Name=2. {ECO:0000255}.; TRANSMEM 99 118 Helical; Name=3. {ECO:0000255}.; TRANSMEM 138 156 Helical; Name=4. {ECO:0000255}.; TRANSMEM 194 217 Helical; Name=5. {ECO:0000255}.; TRANSMEM 234 256 Helical; Name=6. {ECO:0000255}.; TRANSMEM 268 287 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
Q8NGB6,OR4M2,OR4M2_HUMAN,Olfactory receptor 4M2 (Olfactory receptor OR15-3),TRANSMEM 26 49 Helical; Name=1. {ECO:0000255}.; TRANSMEM 58 79 Helical; Name=2. {ECO:0000255}.; TRANSMEM 101 120 Helical; Name=3. {ECO:0000255}.; TRANSMEM 140 158 Helical; Name=4. {ECO:0000255}.; TRANSMEM 196 219 Helical; Name=5. {ECO:0000255}.; TRANSMEM 238 260 Helical; Name=6. {ECO:0000255}.; TRANSMEM 272 291 Helical; Name=7. {ECO:0000255}.,7,+,NA,+,NA
