Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides JURKAT-KO1	Peptides JURKAT-KO2	Peptides JURKAT-KO3	Peptides JURKAT-WT1	Peptides JURKAT-WT2	Peptides JURKAT-WT3	Razor + unique peptides JURKAT-KO1	Razor + unique peptides JURKAT-KO2	Razor + unique peptides JURKAT-KO3	Razor + unique peptides JURKAT-WT1	Razor + unique peptides JURKAT-WT2	Razor + unique peptides JURKAT-WT3	Unique peptides JURKAT-KO1	Unique peptides JURKAT-KO2	Unique peptides JURKAT-KO3	Unique peptides JURKAT-WT1	Unique peptides JURKAT-WT2	Unique peptides JURKAT-WT3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Identification type JURKAT-KO1	Identification type JURKAT-KO2	Identification type JURKAT-KO3	Identification type JURKAT-WT1	Identification type JURKAT-WT2	Identification type JURKAT-WT3	Sequence coverage JURKAT-KO1 [%]	Sequence coverage JURKAT-KO2 [%]	Sequence coverage JURKAT-KO3 [%]	Sequence coverage JURKAT-WT1 [%]	Sequence coverage JURKAT-WT2 [%]	Sequence coverage JURKAT-WT3 [%]	Intensity	Intensity JURKAT-KO1	Intensity JURKAT-KO2	Intensity JURKAT-KO3	Intensity JURKAT-WT1	Intensity JURKAT-WT2	Intensity JURKAT-WT3	iBAQ	iBAQ JURKAT-KO1	iBAQ JURKAT-KO2	iBAQ JURKAT-KO3	iBAQ JURKAT-WT1	iBAQ JURKAT-WT2	iBAQ JURKAT-WT3	LFQ intensity JURKAT-KO1	LFQ intensity JURKAT-KO2	LFQ intensity JURKAT-KO3	LFQ intensity JURKAT-WT1	LFQ intensity JURKAT-WT2	LFQ intensity JURKAT-WT3	MS/MS Count JURKAT-KO1	MS/MS Count JURKAT-KO2	MS/MS Count JURKAT-KO3	MS/MS Count JURKAT-WT1	MS/MS Count JURKAT-WT2	MS/MS Count JURKAT-WT3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|Q9H3U1|UN45A_HUMAN	sp|Q9H3U1|UN45A_HUMAN	3	3	3	>sp|Q9H3U1|UN45A_HUMAN Protein unc-45 homolog A OS=Homo sapiens GN=UNC45A PE=1 SV=1	1	3	3	3	3	2	1	2	2	1	3	2	1	2	2	1	3	2	1	2	2	1	3.1	3.1	3.1	103.08	944	944	0	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	3.1	1.7	1	2.3	1.7	1.4	8804900	1261300	940820	1454900	2035400	2806200	306310	160090	22933	17106	26452	37008	51022	5569.3	1590200	0	0	2042900	0	0	2	1	0	2	1	0	6				1961	2611;9621;11408	True;True;True	2646;9796;11611	16387;16388;16389;60751;60752;60753;60754;60755;71997;71998;71999	16664;62389;62390;74360;74361;74362	16664;62389;74360		
sp|Q9H444|CHM4B_HUMAN	sp|Q9H444|CHM4B_HUMAN	3	3	3	>sp|Q9H444|CHM4B_HUMAN Charged multivesicular body protein 4b OS=Homo sapiens GN=CHMP4B PE=1 SV=1	1	3	3	3	3	2	1	2	2	1	3	2	1	2	2	1	3	2	1	2	2	1	15.2	15.2	15.2	24.95	224	224	0	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	15.2	8.9	4	8.9	8.9	4	20029000	3781000	4121800	2019500	6160900	2625300	1320500	1430600	270070	294420	144250	440060	187520	94322	1544300	6144800	0	7841700	3375400	0	4	2	0	1	0	0	7				1962	1958;3511;4616	True;True;True	1984;3556;4674	12200;21997;21998;21999;22000;29063;29064;29065;29066;29067;29068;29069	12425;22395;22396;22397;30026;30027;30028	12425;22396;30026		
sp|Q9H488|OFUT1_HUMAN	sp|Q9H488|OFUT1_HUMAN	1	1	1	>sp|Q9H488|OFUT1_HUMAN GDP-fucose protein O-fucosyltransferase 1 OS=Homo sapiens GN=POFUT1 PE=1 SV=1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	2.3	2.3	2.3	43.955	388	388	0.0068462	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	2.3	2.3	2.3	2.3	2.3	0	7120000	2062500	950140	865290	2342500	899570	0	356000	103130	47507	43264	117120	44979	0	0	0	0	0	1102700	0	1	0	1	1	1	0	4				1963	6108	True	6185	38628;38629;38630;38631;38632	40228;40229;40230;40231	40230		
sp|Q9H4E7|DEFI6_HUMAN;sp|Q6TDU7|CASC1_HUMAN	sp|Q9H4E7|DEFI6_HUMAN	5;1	5;1	5;1	>sp|Q9H4E7|DEFI6_HUMAN Differentially expressed in FDCP 6 homolog OS=Homo sapiens GN=DEF6 PE=1 SV=1	2	5	5	5	4	2	5	5	5	5	4	2	5	5	5	5	4	2	5	5	5	5	8.2	8.2	8.2	73.91	631	631;716	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7	3.6	8.2	8.2	8.2	8.2	29639000	2295200	1903900	7440300	7235200	4773200	5990900	926210	71726	59497	232510	226100	149160	187220	4068000	5924200	6290300	5721000	4483000	7274700	1	2	1	3	2	4	13				1964	2364;6695;6917;6980;9573	True;True;True;True;True	2394;6775;7005;7068;9746	14772;14773;14774;14775;14776;14777;42286;42287;42288;42289;43665;43666;43667;43668;43669;43670;44049;44050;44051;44052;44053;60442;60443;60444;60445;60446	15022;15023;15024;15025;43955;43956;43957;45426;45427;45428;45721;45722;62080	15025;43955;45426;45721;62080		
sp|Q9H4G4|GAPR1_HUMAN	sp|Q9H4G4|GAPR1_HUMAN	1	1	1	>sp|Q9H4G4|GAPR1_HUMAN Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3	1	1	1	1	1	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	8.4	8.4	8.4	17.218	154	154	0.0085509	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	8.4	0	0	8.4	0	8.4	3296100	1661200	0	0	764920	0	869980	412010	207650	0	0	95614	0	108750	0	0	0	0	0	1232500	0	0	0	1	0	0	1				1965	1974	True	2000	12293;12294;12295	12503;12504	12503		
sp|Q9H4I3|TRABD_HUMAN	sp|Q9H4I3|TRABD_HUMAN	3	3	3	>sp|Q9H4I3|TRABD_HUMAN TraB domain-containing protein OS=Homo sapiens GN=TRABD PE=1 SV=1	1	3	3	3	2	2	2	2	3	3	2	2	2	2	3	3	2	2	2	2	3	3	9	9	9	42.321	376	376	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.9	5.3	6.9	6.9	9	9	31323000	5162500	4763800	6660400	4389900	5721900	4625000	1648600	271710	250720	350550	231050	301150	243420	6734700	6094100	6442600	4782100	6256000	6010000	3	4	4	3	3	4	21				1966	7499;11012;12304	True;True;True	7598;11211;12515	47267;47268;47269;69451;69452;69453;69454;69455;69456;77541;77542;77543;77544;77545	48795;71400;71401;71402;71403;71404;71405;71406;71407;71408;71409;71410;71411;71412;71413;71414;71415;71416;80014;80015;80016	48795;71415;80016		
sp|Q9H4L4|SENP3_HUMAN	sp|Q9H4L4|SENP3_HUMAN	4	4	4	>sp|Q9H4L4|SENP3_HUMAN Sentrin-specific protease 3 OS=Homo sapiens GN=SENP3 PE=1 SV=2	1	4	4	4	4	4	4	3	4	3	4	4	4	3	4	3	4	4	4	3	4	3	8.2	8.2	8.2	65.009	574	574	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	8.2	8.2	8.2	6.6	8.2	6.6	51870000	9329700	9435700	11632000	7338800	7979700	6153600	2470000	444270	449320	553930	349460	379990	293030	10603000	9718400	9970300	8446700	11286000	9564700	3	4	3	3	4	2	19				1967	3718;9316;10515;12609	True;True;True;True	3764;9484;10702;12821	23344;23345;23346;23347;23348;23349;58879;58880;58881;58882;58883;58884;66317;66318;66319;66320;79411;79412;79413;79414;79415;79416	23985;60449;60450;60451;60452;60453;60454;60455;60456;60457;60458;60459;68242;68243;68244;68245;82065;82066;82067	23985;60457;68245;82067		
sp|Q9H4L7|SMRCD_HUMAN	sp|Q9H4L7|SMRCD_HUMAN	1	1	1	>sp|Q9H4L7|SMRCD_HUMAN SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 OS=Homo sapiens GN=SMARCAD1 PE=1 SV=2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.2	1.2	1.2	117.4	1026	1026	0.0072529	By matching	By matching	By matching	By matching	By MS/MS	By matching	1.2	1.2	1.2	1.2	1.2	1.2	20440000	3552300	3561100	4975700	2433600	3075700	2841100	464530	80735	80933	113080	55308	69903	64570	0	0	0	0	0	4025100	0	0	0	0	1	0	1				1968	9033	True	9194	57082;57083;57084;57085;57086;57087	58478	58478		
sp|Q9H4M9|EHD1_HUMAN;sp|Q9NZN3|EHD3_HUMAN;sp|Q9NZN4|EHD2_HUMAN	sp|Q9H4M9|EHD1_HUMAN;sp|Q9NZN3|EHD3_HUMAN	3;2;1	3;2;1	3;2;1	>sp|Q9H4M9|EHD1_HUMAN EH domain-containing protein 1 OS=Homo sapiens GN=EHD1 PE=1 SV=2;>sp|Q9NZN3|EHD3_HUMAN EH domain-containing protein 3 OS=Homo sapiens GN=EHD3 PE=1 SV=2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	6.2	6.2	6.2	60.626	534	534;535;543	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.2	6.2	6.2	6.2	6.2	6.2	74046000	12007000	12708000	14994000	12874000	10690000	10773000	2553300	414030	438220	517040	443940	368610	371480	15104000	13989000	14543000	13478000	12821000	15414000	2	3	2	4	4	1	16				1969	5520;6679;6773	True;True;True	5593;6759;6858	34787;34788;34789;34790;34791;34792;42189;42190;42191;42192;42193;42194;42195;42196;42197;42198;42199;42818;42819;42820;42821;42822;42823	36239;43866;43867;43868;43869;43870;43871;43872;43873;43874;44460;44461;44462;44463;44464;44465	36239;43866;44460		
sp|Q9H583|HEAT1_HUMAN	sp|Q9H583|HEAT1_HUMAN	13	13	13	>sp|Q9H583|HEAT1_HUMAN HEAT repeat-containing protein 1 OS=Homo sapiens GN=HEATR1 PE=1 SV=3	1	13	13	13	11	12	11	12	12	12	11	12	11	12	12	12	11	12	11	12	12	12	6.4	6.4	6.4	242.37	2144	2144	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.4	5.9	5.3	5.8	5.9	5.9	117360000	18468000	20153000	27313000	15435000	15220000	20773000	1029500	162000	176780	239590	135390	133510	182220	24740000	22340000	26506000	15282000	18544000	27992000	8	8	10	5	5	10	46				1970	632;2182;3614;3714;5506;5837;5838;5947;6191;6454;11362;12037;12184	True;True;True;True;True;True;True;True;True;True;True;True;True	638;2211;3659;3760;5579;5911;5912;6024;6269;6534;11565;12246;12395	3889;3890;3891;3892;3893;3894;13653;13654;13655;13656;13657;13658;22711;22712;22713;22714;22715;22716;23311;23312;23313;23314;23315;23316;34692;34693;34694;36947;36948;36949;36950;36951;36952;36953;36954;36955;37665;37666;37667;37668;39150;39151;39152;39153;39154;39155;40755;40756;40757;40758;40759;40760;40761;40762;71698;71699;71700;71701;71702;71703;75870;75871;75872;75873;75874;75875;76802;76803;76804;76805;76806;76807	4193;4194;4195;4196;4197;14005;14006;14007;14008;14009;23237;23238;23239;23240;23241;23242;23902;23903;23904;23905;23906;36161;36162;38381;38382;38383;38384;38385;39153;40764;40765;40766;42340;42341;42342;42343;42344;42345;42346;42347;42348;42349;74026;78340;78341;79285;79286	4194;14005;23241;23906;36162;38384;38385;39153;40764;42341;74026;78341;79285		
sp|Q9H6R4|NOL6_HUMAN	sp|Q9H6R4|NOL6_HUMAN	2	2	2	>sp|Q9H6R4|NOL6_HUMAN Nucleolar protein 6 OS=Homo sapiens GN=NOL6 PE=1 SV=2	1	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	1	1	2.4	2.4	2.4	127.59	1146	1146	0	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By matching	2.4	2.4	2.4	2.4	1	1	9504100	1702500	1662900	2090600	2202600	984400	861100	198000	35469	34645	43554	45888	20508	17940	2221700	1981100	1937000	2123500	0	0	3	0	1	1	0	0	5				1971	2224;3823	True;True	2253;3871	13952;13953;13954;13955;13956;13957;23974;23975;23976;23977	14284;24663;24664;24665;24666	14284;24665		
sp|Q9H6W3|NO66_HUMAN	sp|Q9H6W3|NO66_HUMAN	2	2	2	>sp|Q9H6W3|NO66_HUMAN Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66 OS=Homo sapiens GN=NO66 PE=1 SV=2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3.7	3.7	3.7	71.085	641	641	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	3.7	3.7	3.7	3.7	3.7	3.7	12414000	2644400	1824400	2684900	2251300	1714400	1294500	496550	105770	72976	107400	90051	68575	51779	3266900	2073400	2592600	2233900	2083500	1942100	2	1	1	1	1	0	6				1972	6289;7327	True;True	6368;7419	39739;39740;39741;39742;39743;39744;46242;46243;46244;46245;46246;46247	41335;41336;41337;41338;47877;47878;47879	41335;47878		
sp|Q9H6X2|ANTR1_HUMAN	sp|Q9H6X2|ANTR1_HUMAN	5	5	5	>sp|Q9H6X2|ANTR1_HUMAN Anthrax toxin receptor 1 OS=Homo sapiens GN=ANTXR1 PE=1 SV=2	1	5	5	5	5	5	5	5	5	4	5	5	5	5	5	4	5	5	5	5	5	4	8.3	8.3	8.3	62.788	564	564	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	8.3	8.3	8.3	8.3	8.3	8.3	183030000	14991000	37613000	36760000	28209000	42648000	22810000	8319600	681420	1709700	1670900	1282200	1938500	1036800	22981000	38815000	32412000	23447000	47181000	45228000	3	6	4	4	6	6	29				1973	866;998;2929;7195;7196	True;True;True;True;True	875;1010;2969;7285;7286	5323;5324;5325;5326;5327;5328;6123;6124;6125;6126;6127;6128;18320;18321;18322;18323;18324;18325;45412;45413;45414;45415;45416;45417;45418;45419;45420;45421;45422;45423;45424;45425;45426	5471;5472;5473;5474;6312;6313;6314;6315;6316;6317;6318;6319;6320;6321;6322;6323;6324;18673;47164;47165;47166;47167;47168;47169;47170;47171;47172;47173;47174	5472;6319;18673;47165;47168		
sp|Q9H7F0|AT133_HUMAN	sp|Q9H7F0|AT133_HUMAN	13	13	13	>sp|Q9H7F0|AT133_HUMAN Probable cation-transporting ATPase 13A3 OS=Homo sapiens GN=ATP13A3 PE=1 SV=4	1	13	13	13	12	12	13	11	11	13	12	12	13	11	11	13	12	12	13	11	11	13	13.4	13.4	13.4	138.04	1226	1226	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	12.4	12.7	13.4	11.9	11.7	13.4	218880000	20632000	32570000	67731000	23526000	34057000	40360000	4377500	412630	651400	1354600	470520	681130	807200	35584000	44304000	47817000	27683000	50021000	45171000	9	11	15	8	14	9	66				1974	1384;3231;3288;3588;3641;4714;8505;10670;10720;11537;11798;12466;12748	True;True;True;True;True;True;True;True;True;True;True;True;True	1403;3275;3332;3633;3686;4772;8659;10862;10912;11740;12004;12677;12965	8476;8477;8478;8479;8480;8481;20255;20256;20257;20258;20259;20260;20618;20619;20620;20621;20622;20623;22531;22532;22533;22534;22535;22536;22537;22538;22539;22540;22880;22881;22882;22883;22884;22885;29632;29633;29634;29635;29636;53512;53513;53514;53515;53516;53517;67232;67233;67234;67235;67236;67237;67566;67567;67568;67569;72750;72751;72752;72753;72754;72755;74404;74405;74406;74407;74408;74409;78518;78519;78520;80303;80304;80305;80306;80307;80308	8711;8712;8713;20621;20622;20623;20624;20996;23044;23045;23046;23047;23048;23049;23050;23051;23052;23053;23475;23476;23477;23478;23479;23480;30616;54790;54791;54792;54793;69127;69128;69129;69130;69131;69132;69133;69134;69135;69136;69137;69138;69139;69140;69485;69486;75183;76849;76850;76851;76852;76853;81103;81104;81105;82968;82969;82970;82971;82972;82973;82974;82975;82976;82977;82978;82979	8712;20623;20996;23048;23477;30616;54793;69129;69486;75183;76850;81103;82979		
sp|Q9H7Z3|NRDE2_HUMAN	sp|Q9H7Z3|NRDE2_HUMAN	3	3	3	>sp|Q9H7Z3|NRDE2_HUMAN Protein NRDE2 homolog OS=Homo sapiens GN=NRDE2 PE=1 SV=3	1	3	3	3	1	0	2	0	2	0	1	0	2	0	2	0	1	0	2	0	2	0	3.4	3.4	3.4	132.67	1164	1164	0	By MS/MS	By matching	By MS/MS	By matching	By MS/MS	By matching	1	0	2.3	0	2.3	0	6011100	0	0	3085800	0	2925200	0	107340	0	0	55104	0	52236	0	0	0	3333300	0	3193600	0	1	0	1	0	2	0	4				1975	545;5528;10098	True;True;True	548;5601;10279	3292;34848;34849;63778;63779	3474;36291;65533;65534	3474;36291;65533		
sp|Q9H813|TM206_HUMAN	sp|Q9H813|TM206_HUMAN	2	2	2	>sp|Q9H813|TM206_HUMAN Transmembrane protein 206 OS=Homo sapiens GN=TMEM206 PE=1 SV=1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6.3	6.3	6.3	40.043	350	350	0	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.3	6.3	6.3	6.3	6.3	6.3	64960000	6429800	11660000	12990000	9714100	12053000	12113000	4330700	428650	777330	866010	647610	803510	807570	9116600	14406000	13361000	11223000	14036000	13435000	0	3	1	1	2	1	8				1976	9060;10524	True;True	9222;10711	57276;57277;57278;57279;57280;57281;66373;66374;66375;66376;66377;66378;66379	58707;58708;58709;58710;58711;68274;68275;68276	58709;68275		
sp|Q9H845|ACAD9_HUMAN	sp|Q9H845|ACAD9_HUMAN	7	7	7	>sp|Q9H845|ACAD9_HUMAN Acyl-CoA dehydrogenase family member 9, mitochondrial OS=Homo sapiens GN=ACAD9 PE=1 SV=1	1	7	7	7	4	4	5	7	6	4	4	4	5	7	6	4	4	4	5	7	6	4	14.3	14.3	14.3	68.76	621	621	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6	6	8.1	14.3	10.1	8.9	38669000	6241300	5648500	7605200	9578800	6730100	2864800	1104800	178320	161390	217290	273680	192290	81850	8142700	6685700	6991900	7969400	7280100	6464600	3	3	4	7	5	1	23				1977	1456;2838;5229;5542;8781;10317;12048	True;True;True;True;True;True;True	1476;2877;5298;5615;8940;10500;12257	8928;8929;17762;17763;17764;17765;17766;17767;32911;32912;32913;32914;32915;32916;34950;34951;55368;55369;55370;55371;55372;55373;65071;65072;65073;65074;75943;75944;75945;75946;75947	9210;18076;18077;18078;18079;18080;18081;18082;18083;18084;18085;34363;36389;56700;67003;67004;67005;78392;78393;78394;78395;78396;78397	9210;18077;34363;36389;56700;67003;78392		
sp|Q9H8H0|NOL11_HUMAN	sp|Q9H8H0|NOL11_HUMAN	2	2	2	>sp|Q9H8H0|NOL11_HUMAN Nucleolar protein 11 OS=Homo sapiens GN=NOL11 PE=1 SV=1	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	3.6	3.6	3.6	81.123	719	719	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	1.9	3.6	3.6	3.6	3.6	3.6	4548300	385280	826960	948990	750150	742500	894420	122930	10413	22350	25648	20274	20068	24174	0	0	0	0	0	1267200	1	0	1	0	0	1	3				1978	3649;4981	True;True	3694;5043	22925;22926;22927;22928;22929;31339;31340;31341;31342;31343;31344	23540;23541;23542;23543;32475;32476;32477	23541;32475		
sp|Q9H8H2|DDX31_HUMAN	sp|Q9H8H2|DDX31_HUMAN	5	5	5	>sp|Q9H8H2|DDX31_HUMAN Probable ATP-dependent RNA helicase DDX31 OS=Homo sapiens GN=DDX31 PE=1 SV=2	1	5	5	5	4	5	4	4	5	4	4	5	4	4	5	4	4	5	4	4	5	4	7.1	7.1	7.1	94.086	851	851	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.4	7.1	5.8	5.8	7.1	5.8	30641000	4370900	5482000	6641200	5408100	4357300	4381400	651940	92998	116640	141300	115070	92708	93221	5751500	5963300	6468700	5256500	5080400	6077900	5	5	4	2	4	2	22				1979	2270;8016;9110;9379;10188	True;True;True;True;True	2300;8161;9273;9549;10370	14236;14237;14238;14239;14240;14241;50591;50592;50593;50594;50595;57576;57577;57578;57579;57580;57581;59275;59276;59277;59278;59279;59280;59281;59282;64349;64350;64351;64352	14569;14570;14571;14572;14573;14574;52088;59020;59021;59022;59023;60948;60949;60950;60951;60952;60953;60954;60955;66291;66292;66293	14574;52088;59023;60950;66293		
sp|Q9H8M5|CNNM2_HUMAN	sp|Q9H8M5|CNNM2_HUMAN	10	9	5	>sp|Q9H8M5|CNNM2_HUMAN Metal transporter CNNM2 OS=Homo sapiens GN=CNNM2 PE=1 SV=2	1	10	9	5	6	9	9	9	10	9	5	8	8	8	9	8	3	4	4	4	5	4	12.2	10.6	6.1	96.622	875	875	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	8.2	11.1	11.1	11.1	12.2	11.1	93118000	6314100	16958000	20608000	13012000	19516000	16710000	2069300	140310	376850	457960	289150	433680	371330	12022000	21395000	20429000	13458000	19463000	20972000	2	6	6	4	6	6	30				1980	820;1592;3219;3666;4306;4454;5071;5436;6642;9184	True;True;False;True;True;True;True;True;True;True	828;1613;3263;3712;4362;4512;5136;5507;6722;9348	5044;5045;5046;5047;5048;9799;9800;9801;9802;9803;20185;20186;20187;20188;20189;20190;20191;20192;20193;20194;23026;23027;23028;23029;23030;23031;27065;27066;27067;27068;27069;28073;28074;28075;28076;28077;28078;31864;31865;31866;31867;31868;31869;34152;41934;41935;41936;41937;41938;41939;58078;58079;58080;58081;58082;58083	5218;5219;10018;10019;10020;10021;20575;20576;20577;20578;20579;20580;20581;20582;20583;20584;20585;20586;23648;23649;23650;23651;23652;23653;23654;23655;23656;23657;23658;23659;27843;29044;29045;29046;33056;35566;43556;43557;43558;59563;59564;59565	5218;10019;20586;23654;27843;29044;33056;35566;43558;59565		
sp|Q9H936|GHC1_HUMAN;sp|Q9H1K4|GHC2_HUMAN	sp|Q9H936|GHC1_HUMAN;sp|Q9H1K4|GHC2_HUMAN	5;3	5;3	5;3	>sp|Q9H936|GHC1_HUMAN Mitochondrial glutamate carrier 1 OS=Homo sapiens GN=SLC25A22 PE=1 SV=1;>sp|Q9H1K4|GHC2_HUMAN Mitochondrial glutamate carrier 2 OS=Homo sapiens GN=SLC25A18 PE=1 SV=1	2	5	5	5	5	5	4	4	5	5	5	5	4	4	5	5	5	5	4	4	5	5	12.7	12.7	12.7	34.47	323	323;315	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	12.7	12.7	10.2	10.2	12.7	12.7	80808000	10592000	14234000	13260000	12992000	17156000	12574000	4753400	623080	837270	780000	764230	1009200	739620	11631000	14087000	16939000	18372000	17115000	16107000	3	4	4	3	2	4	20				1981	3243;4120;4965;5109;5770	True;True;True;True;True	3287;4174;5027;5174;5844	20329;20330;20331;20332;20333;20334;25827;25828;25829;25830;25831;25832;31241;31242;31243;31244;31245;31246;32128;32129;32130;32131;36578;36579;36580;36581;36582;36583	20696;20697;20698;20699;20700;20701;26557;26558;26559;26560;26561;32367;32368;32369;33567;33568;33569;38018;38019;38020	20700;26557;32368;33568;38018		
sp|Q9H944|MED20_HUMAN	sp|Q9H944|MED20_HUMAN	1	1	1	>sp|Q9H944|MED20_HUMAN Mediator of RNA polymerase II transcription subunit 20 OS=Homo sapiens GN=MED20 PE=1 SV=1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	5.2	5.2	5.2	23.222	212	212	0.0015881	By matching	By matching	By matching	By matching	By MS/MS	By matching	0	0	0	5.2	5.2	5.2	1421400	0	0	0	693730	558800	168830	157930	0	0	0	77081	62089	18759	0	0	0	0	0	239190	0	0	0	0	0	0	0				1982	11505	True	11708	72555;72556;72557	74978	74978	464	131
sp|Q9H967|WDR76_HUMAN	sp|Q9H967|WDR76_HUMAN	4	4	4	>sp|Q9H967|WDR76_HUMAN WD repeat-containing protein 76 OS=Homo sapiens GN=WDR76 PE=1 SV=2	1	4	4	4	4	4	3	4	4	2	4	4	3	4	4	2	4	4	3	4	4	2	7.5	7.5	7.5	69.768	626	626	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.5	7.5	5.9	7.5	7.5	4.2	37045000	8063400	3982500	3683500	13671000	5408600	2235500	1157600	251980	124450	115110	427230	169020	69858	9315000	4677500	6112600	9462500	6547100	5655700	4	2	2	6	4	1	19				1983	333;8973;10636;12259	True;True;True;True	335;9134;10827;12470	1960;1961;1962;1963;1964;1965;56679;56680;56681;56682;67054;67055;67056;67057;67058;67059;77265;77266;77267;77268;77269	2189;2190;2191;2192;2193;2194;2195;2196;58110;58111;58112;58113;68946;79748;79749;79750;79751;79752;79753	2189;58112;68946;79749		
sp|Q9H9B4|SFXN1_HUMAN	sp|Q9H9B4|SFXN1_HUMAN	11	11	11	>sp|Q9H9B4|SFXN1_HUMAN Sideroflexin-1 OS=Homo sapiens GN=SFXN1 PE=1 SV=4	1	11	11	11	10	9	10	10	8	8	10	9	10	10	8	8	10	9	10	10	8	8	31.7	31.7	31.7	35.619	322	322	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	27.3	27.3	27.3	28.6	24.2	24.2	446960000	78702000	63957000	79264000	105270000	63551000	56221000	27935000	4918900	3997300	4954000	6579200	3971900	3513800	99432000	77867000	77097000	97415000	80126000	79637000	19	17	16	24	16	13	105				1984	819;4398;5093;5094;7848;7849;8340;9301;11463;11464;12556	True;True;True;True;True;True;True;True;True;True;True	827;4455;5158;5159;7989;7990;8491;9469;11666;11667;12768	5032;5033;5034;5035;5036;5037;5038;5039;5040;5041;5042;5043;27692;27693;27694;27695;27696;27697;32033;32034;32035;32036;32037;32038;32039;32040;32041;32042;49509;49510;49511;49512;49513;49514;49515;49516;49517;49518;49519;49520;49521;49522;49523;49524;49525;49526;52492;52493;52494;58779;72322;72323;72324;72325;72326;72327;72328;72329;72330;72331;72332;72333;79076;79077;79078;79079;79080;79081;79082;79083;79084;79085;79086;79087	5200;5201;5202;5203;5204;5205;5206;5207;5208;5209;5210;5211;5212;5213;5214;5215;5216;5217;28571;28572;28573;28574;28575;28576;28577;28578;33482;33483;33484;33485;33486;33487;51012;51013;51014;51015;51016;51017;51018;51019;51020;51021;51022;51023;51024;51025;51026;51027;51028;51029;51030;51031;51032;51033;51034;51035;51036;53900;60316;74740;74741;74742;74743;74744;74745;74746;74747;74748;74749;74750;74751;74752;74753;74754;74755;74756;74757;74758;74759;74760;74761;74762;74763;74764;74765;74766;74767;81703;81704;81705;81706;81707;81708;81709;81710;81711;81712;81713;81714;81715;81716;81717;81718;81719;81720	5208;28574;33483;33485;51013;51026;53900;60316;74745;74759;81719		
